callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
callsign,contour_type,0.0,source_file,,,,,Unknown,,,
KVNR,night_2,5.294406648958102,KVNR_2_N_as1.kml,33.7516666666667,-117.910555555556,1480.0,5.0,California,CA,SANTA ANA,ESTRELLA RADIO LICENSE OF CALIFORNIA LLC
WPVW,day_0.5,1.0998918387340382,WPVW_0.5_D_as1.kml,44.3460833333333,-91.9782222222222,1190.0,1.0,Upper Midwest,MN,WABASHA,"Q MEDIA GROUP, LLC"
WKNG,night_2,0.34542139316909015,WKNG_2_N_as1.kml,33.7351111111111,-85.2521666666667,1060.0,15.0,Southeast,GA,TALLAPOOSA,"WKNG, LLC"
KXLQ,night_2,0.2902703264262527,KXLQ_2_N_as1.kml,41.3566666666667,-93.5877777777778,1490.0,0.5,Plains,IA,INDIANOLA,BIRACH BROADCASTING CORPORATION
WRVK,day_0.5,0.6006822141353041,WRVK_0.5_D_as1.kml,37.3970277777778,-84.3291111111111,1460.0,1.2,Mid-South,KY,MOUNT VERNON,"SAYLOR BROADCASTING, INC."
KJNO,night_2,1.8813279571477324,KJNO_2_N_as1.kml,58.3293888888889,-134.473166666667,630.0,1.0,Alaska,AK,JUNEAU,"ALASKA BROADCAST COMMUNICATIONS, INC"
KWUL,day_2,0.5657502139220014,KWUL_2_D_as1.kml,38.7592222222222,-90.0501111111111,920.0,0.5,Mid-South,MO,ST. LOUIS,"East Central Broadcasting, LLC"
WOL,day_0.5,0.18214468634687364,WOL_0.5_D_as1.kml,38.9553888888889,-77.0038611111111,1450.0,0.37,Mid-Atlantic,DC,WASHINGTON,"RADIO ONE LICENSES, LLC"
WTOU,night_2,0.14453636319376528,WTOU_2_N_as1.kml,,,,,Unknown,,,
WCRN,day_0.5,4.532756382948719,WCRN_0.5_D_as1.kml,42.2473055555556,-71.9306388888889,830.0,50.0,Northeast,MA,WORCESTER,CARTER BROADCASTING CORPORATION
KFBC,day_0.5,1.1006650233175606,KFBC_0.5_D_as3.kml,41.1213611111111,-104.839972222222,1240.0,0.7,Rockies,WY,CHEYENNE,MONTGOMERY BROADCASTING L.L.C.
