callsign,callsign_effective_date,community_served_state,digital_operation,facility_status,facility_uuid,frequency,latest_filing_version_id,level_0,afac_channel,afac_community_city,afac_community_state_code,afac_license_filing_id,station_class_code,aloc_loc_record_id,aloc_lat_deg,aloc_lat_mm,aloc_lat_ss,aloc_long_deg,aloc_long_mm,aloc_long_ss,aapp_callsign,aapp_receipt_date,original_filing_date,active_ind,auth_type_code,create_ts,current_status_code,last_update_ts,license_filing_id,original_purpose_code,purpose_code,ref_filing_version_id,service_code,status_date,sub_purpose_code,am_antenna_record_id,ant_monitor_phase,electrical_hgt_deg,field_ratio,phase,spacing,tower_load_type,tower_parms_a_deg,tower_parms_b_deg,tower_parms_c_deg,tower_parms_d_deg,tower_record_id,tower_seq_id,am_ant_mode_code,dir_ind,power,am_antenna_count,eval_purpose_code,owner,format,slogan,lat,lon
CBW,,MB,A,UNKNO,9b856ddf4fe94f8797e1c1b6063ebeb7,,,f671d38d34f5498bb1a3c1b6063ebeb7,0.0,WINNIPEG,MB,a9bdf932a5e846c1a3bec1b6063ebeb7,A,333fd71963544c1b8d82c1b6063ebeb7,49.0,50.0,12.0,97.0,30.0,44.1,CBW,,,Y,L,2019-11-14 17:02:23.923920,GRA,1900-01-01 00:00:00.000000,a9bdf932a5e846c1a3bec1b6063ebeb7,,L2C,,AM,1900-01-01 00:00:00.000000,,b8d8572c166445a28314c1b6063ebeb7,,216.0,1.0,0.0,0.0,NON,0.0,0.0,0.0,0.0,c41f002bd2084bef8adfc1b6063ebeb7,1.0,DAY,N,50.0,1.0,L2C,,News/Talk,CBC RADIO ONE THOMPSON,49.836666666666700,97.51225
CBW,,MB,A,UNKNO,9b856ddf4fe94f8797e1c1b6063ebeb7,,,f671d38d34f5498bb1a3c1b6063ebeb7,0.0,WINNIPEG,MB,a9bdf932a5e846c1a3bec1b6063ebeb7,A,333fd71963544c1b8d82c1b6063ebeb7,49.0,50.0,12.0,97.0,30.0,44.1,CBW,,,Y,L,2019-11-14 17:02:23.923920,GRA,1900-01-01 00:00:00.000000,a9bdf932a5e846c1a3bec1b6063ebeb7,,L2C,,AM,1900-01-01 00:00:00.000000,,b8d8572c166445a28314c1b6063ebeb7,,216.0,1.0,0.0,0.0,NON,0.0,0.0,0.0,0.0,c41f002bd2084bef8adfc1b6063ebeb7,1.0,UNL,N,50.0,1.0,L2C,,News/Talk,CBC RADIO ONE THOMPSON,49.836666666666700,97.51225
CBW,,MB,A,UNKNO,9b856ddf4fe94f8797e1c1b6063ebeb7,,,f671d38d34f5498bb1a3c1b6063ebeb7,0.0,WINNIPEG,MB,a9bdf932a5e846c1a3bec1b6063ebeb7,A,333fd71963544c1b8d82c1b6063ebeb7,49.0,50.0,12.0,97.0,30.0,44.1,CBW,,,Y,L,2019-11-14 17:02:23.923920,GRA,1900-01-01 00:00:00.000000,a9bdf932a5e846c1a3bec1b6063ebeb7,,L2C,,AM,1900-01-01 00:00:00.000000,,b8d8572c166445a28314c1b6063ebeb7,,216.0,1.0,0.0,0.0,NON,0.0,0.0,0.0,0.0,c41f002bd2084bef8adfc1b6063ebeb7,1.0,NIG,N,46.0,1.0,L2C,,News/Talk,CBC RADIO ONE THOMPSON,49.836666666666700,97.51225
KAAA,,AZ,A,LICEN,a481501ac21d4332aa62c1b6063ebeb7,1230.0,048b1fef41d44425bc6ec1b6063ebeb7,9f9bf0ca08474e51ac77c1b6063ebeb7,0.0,KINGMAN,AZ,6d00ac9c8bbd4fdfb598c1b6063ebeb7,C,1ecc75a93d884bc089bec1b6063ebeb7,35.0,9.0,49.0,114.0,4.0,14.8,KAAA,2008-04-15 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,2008-04-22 00:00:00.000000,6d00ac9c8bbd4fdfb598c1b6063ebeb7,,L2C,,AM,2008-04-22 00:00:00.000000,,63516aaddb60438695eac1b6063ebeb7,,85.5,1.0,0.0,0.0,NON,,,,,4f6ef53b589746609c42c1b6063ebeb7,1.0,DAY,N,1.0,1.0,L2C,"CAMERON BROADCASTING, INC.",News/Talk,NEWS TALK 1230,35.16361111111110,114.07077777777800
KAAA,,AZ,A,LICEN,a481501ac21d4332aa62c1b6063ebeb7,1230.0,048b1fef41d44425bc6ec1b6063ebeb7,9f9bf0ca08474e51ac77c1b6063ebeb7,0.0,KINGMAN,AZ,6d00ac9c8bbd4fdfb598c1b6063ebeb7,C,1ecc75a93d884bc089bec1b6063ebeb7,35.0,9.0,49.0,114.0,4.0,14.8,KAAA,2008-04-15 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,2008-04-22 00:00:00.000000,6d00ac9c8bbd4fdfb598c1b6063ebeb7,,L2C,,AM,2008-04-22 00:00:00.000000,,63516aaddb60438695eac1b6063ebeb7,,85.5,1.0,0.0,0.0,NON,,,,,4f6ef53b589746609c42c1b6063ebeb7,1.0,NIG,N,1.0,1.0,L2C,"CAMERON BROADCASTING, INC.",News/Talk,NEWS TALK 1230,35.16361111111110,114.07077777777800
KAAB,1979-12-03 00:00:00.0,AR,,LICEN,88a1646ab1f44dffa4b5c1b6063ebeb7,1130.0,0995dedca3cd4cd0a19cc1b6063ebeb7,a375182a9f964bf7acbdc1b6063ebeb7,0.0,BATESVILLE,AR,7259d5def0cc4ef1963fc1b6063ebeb7,D,92c447381a634ed390c7c1b6063ebeb7,35.0,44.0,40.3,91.0,38.0,21.5,KAAB,1995-10-02 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,1996-05-22 02:00:00.000000,7259d5def0cc4ef1963fc1b6063ebeb7,,L2C,,AM,1996-05-22 02:00:00.000000,,c48f2c1bd8f041a8b570c1b6063ebeb7,,74.0,0.9,104.0,80.1,NON,0.0,0.0,0.0,0.0,3db7f10836514ca6ad5bc1b6063ebeb7,2.0,NIG,Y,0.02,2.0,L2C,"WRD ENTERTAINMENT, INC.",,,35.744527777777800,91.63930555555560
KAAB,1979-12-03 00:00:00.0,AR,,LICEN,88a1646ab1f44dffa4b5c1b6063ebeb7,1130.0,0995dedca3cd4cd0a19cc1b6063ebeb7,a375182a9f964bf7acbdc1b6063ebeb7,0.0,BATESVILLE,AR,7259d5def0cc4ef1963fc1b6063ebeb7,D,92c447381a634ed390c7c1b6063ebeb7,35.0,44.0,40.3,91.0,38.0,21.5,KAAB,1995-10-02 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,1996-05-22 02:00:00.000000,7259d5def0cc4ef1963fc1b6063ebeb7,,L2C,,AM,1996-05-22 02:00:00.000000,,c48f2c1bd8f041a8b570c1b6063ebeb7,,74.0,0.9,104.0,80.1,NON,0.0,0.0,0.0,0.0,3db7f10836514ca6ad5bc1b6063ebeb7,2.0,DAY,Y,1.0,2.0,L2C,"WRD ENTERTAINMENT, INC.",,,35.744527777777800,91.63930555555560
KAAM,,TX,H,LICEN,360e4da285d341ab8a0fc1b6063ebeb7,770.0,106e1004d773426c8f92c1b6063ebeb7,976d1fc2642e449f9f9cc1b6063ebeb7,0.0,GARLAND,TX,50fa2b950dc243539855c1b6063ebeb7,B,ee85d208e1c54a50817dc1b6063ebeb7,33.0,1.0,58.4,96.0,34.0,32.0,KAAM,2011-10-12 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,2011-11-22 00:00:00.000000,50fa2b950dc243539855c1b6063ebeb7,,MOD,78158d53906342979190c1b6063ebeb7,AM,2011-11-22 00:00:00.000000,MIN,714ba1b2f72b41fa82f5c1b6063ebeb7,,80.0,0.957,93.9,0.0,NON,0.0,0.0,0.0,0.0,0d70bb9153ce41eb9d0ec1b6063ebeb7,1.0,NIG,Y,1.0,4.0,MOD,"DJRD BROADCASTING, LLC",,,33.03288888888890,96.57555555555560
KAAM,,TX,H,LICEN,360e4da285d341ab8a0fc1b6063ebeb7,770.0,106e1004d773426c8f92c1b6063ebeb7,976d1fc2642e449f9f9cc1b6063ebeb7,0.0,GARLAND,TX,50fa2b950dc243539855c1b6063ebeb7,B,ee85d208e1c54a50817dc1b6063ebeb7,33.0,1.0,58.4,96.0,34.0,32.0,KAAM,2011-10-12 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,2011-11-22 00:00:00.000000,50fa2b950dc243539855c1b6063ebeb7,,MOD,78158d53906342979190c1b6063ebeb7,AM,2011-11-22 00:00:00.000000,MIN,714ba1b2f72b41fa82f5c1b6063ebeb7,,80.0,0.957,93.9,0.0,NON,0.0,0.0,0.0,0.0,0d70bb9153ce41eb9d0ec1b6063ebeb7,1.0,DAY,Y,10.0,4.0,MOD,"DJRD BROADCASTING, LLC",,,33.03288888888890,96.57555555555560
KAAN,,MO,A,LICEN,dbabc2c0c97a43eb8236c1b6063ebeb7,870.0,027c0960bf0141ddad59c1b6063ebeb7,92b7f46204a4484ca07ac1b6063ebeb7,0.0,BETHANY,MO,98fe18d379514229b3e4c1b6063ebeb7,D,ba04c3f5fd5a40b0a720c1b6063ebeb7,40.0,15.0,23.0,94.0,9.0,23.0,KAAN,1989-06-26 00:00:00.000000,,Y,L,2019-04-09 21:17:59.349047,GRA,1989-09-20 00:00:00.000000,98fe18d379514229b3e4c1b6063ebeb7,,L2C,,AM,1989-09-20 00:00:00.000000,,d169dc0d38dc4f648bebc1b6063ebeb7,,110.7,1.0,0.0,0.0,NON,0.0,0.0,0.0,0.0,911e2c0fdd184cc58324c1b6063ebeb7,1.0,DAY,N,0.93,1.0,L2C,Alpha Media Licensee LLC,Sports,KAAN SPORTS RADIO,40.256388888888900,94.1563888888889
